path,source_group,label,width,height,mode,pixel_sha256,file_sha256,dhash,original_split,split,id
DB - Copy/training/Difetto1/RRT-22R_Img3_A80_S2_[2][27].png,RRT-22R,CR,227,227,L,71f262d0f4d3aef9486b00919a25959207fbc3c62ff62f3407e57aab0bd6491f,09f0745c45d6d8efbfcd068c9be43a951316b0a13a56c222a70dbeee5e7d4715,10849041589665871573,training,support,support_CR_001
DB - Copy/training/Difetto4/RRT-27R_Img4_A80_S3_[6][31].png,RRT-27R,LP,227,227,L,50b4436d82710818da5da0a89607d26a254ed723903f3162988dc4248ab1cd59,3d30a3d982312b797413d3bc3e6d4454f0b8ab6844a09a8df46d6d0ee8f12c2a,5570164540351933779,training,support,support_LP_001
DB - Copy/validation/NoDifetto/RRT-29R_Img1_A80_S2_[1][48].png,RRT-29R,ND,227,227,L,76305dbfa3c7c678b40849798844ac748f29ccf361069c0550a55d2cfde73121,ec7f0cb9f7f2f3e09bc4268f3bf0c515e66cba885cb301dfc8a2bc176d3d6020,5782698097100980226,validation,support,support_ND_001
DB - Copy/validation/Difetto2/RRT-27R_Img1_A80_S6_[4][29].png,RRT-27R,PO,227,227,L,827dbbbffa266fefaf47f11a85953e99425e1b84c50b40454235caf9140cad77,1c6bb87e7d5f9f71e8bc3b9f01965f4dde29663c3f92a620acb0765ebfcf6566,11606084551914819649,validation,support,support_PO_001
DB - Copy/training/Difetto1/RRT-13R_Img4_A80_S4_[13][5].png,RRT-13R,CR,227,227,L,452c9626f9da6cee461663983304e8676a79305b58d6e25516824efa47faf84a,607decbf2adccf205546449e0fa3ec4b7d647020b25eb049744ed25a62830301,12875261980872556539,training,validation,validation_CR_001
DB - Copy/validation/Difetto1/RRT-13R_Img1_A80_S4_[16][4].png,RRT-13R,CR,227,227,L,496b599b74a9b08bd2f67c09a644302223872b0ab3ad32df206c7961e859dcf4,397104b2bec98c128cc51b61c8a2a962fb72451aa627462ea3ef2d647b6623fd,5123970596294430554,validation,validation,validation_CR_002
DB - Copy/training/Difetto1/RRT-13R_Img1_A80_S4_[16][49].png,RRT-13R,CR,227,227,L,2099bbe0215227b44f88a2b7e0a02a0a8ffbbed0332e2d5270c0682344f5f2b5,42bc0e68e146fd21279188e48197c93420fcb4acf890304a3c71f96c55a2e4be,17274717471850579428,training,validation,validation_CR_003
DB - Copy/validation/Difetto1/RRT-99R_Img3_A80_S5_[18][14].png,RRT-99R,CR,227,227,L,f1969dff8d35b89813438815d5e42edf2d8d7bbc532202b918e8e69da38857a0,5dc25edc92f140d9bdd9d8f9bebcd51bf2df76c71189221b7f310617f2d8ae77,3171949232876028803,validation,validation,validation_CR_004
DB - Copy/validation/Difetto4/bam5_Img2_A80_S2_[6][20].png,bam5,LP,227,227,L,72fec6e9a7fa2636bf4d1689793f7f74688fc6d741972dd6336da9f581c432e8,d9f3eddb93f452b6a028ceba175c720d10ba882cd8fe9ed65cfe1eae7cb8e551,298469441300103296,validation,validation,validation_LP_001
DB - Copy/testing/Difetto4/bam5_Img2_A80_S7_[11][5].png,bam5,LP,227,227,L,619c300fde55c0a73fafbc9805b5c942a65bd154b21506a1e6eb9f525ed0cf09,3c140e4f25ce6d15bdd996f8ac6ab52aa4e1703d06e3bd4ce10db8eb872c1d0f,2387192649320964865,testing,validation,validation_LP_002
DB - Copy/training/Difetto4/RRT-24R_Img3_A80_S7_[5][34].png,RRT-24R,LP,227,227,L,54f5ae910063378b6761f3ab71debf6dc7cd3768c92957222c90762c98491192,5692de05fa7fb7bb159380f5354ef713677224a187a6e06bb8803b1f95bb6087,16508571233870991544,training,validation,validation_LP_003
