path,source_group,label,width,height,mode,pixel_sha256,file_sha256,dhash,original_split
DB - Copy/testing/Difetto1/RRT-101R_Img1_A80_S4_[16][1].png,RRT-101R,CR,227,227,L,89e28736e2dc8cb07783884da501daf38bc2f0f3f6e56a14d638671f4cd09eea,f60e51d6efd50f0db1cc6e3003550c124aab72efb1b98b121495774be4714a98,5075929807294529,testing
DB - Copy/testing/Difetto1/RRT-101R_Img1_A80_S4_[19][7].png,RRT-101R,CR,227,227,L,a8ec9387ec3197224b3353f2ce9ab580d7ef38c55871bb9e956250afc135bd0f,66713df2563ae9584ac7bed4841cd5bae8177796e934bc0ab5f1d3150fea4da1,6510079105815337082,testing
DB - Copy/testing/Difetto1/RRT-101R_Img1_A80_S4_[25][3].png,RRT-101R,CR,227,227,L,8566c82d4decee509ec861a29d9d6a8d1097f06eec3b31e75bd114a7a6ef9274,33ddd95cdb4fb3dc5e9501a5e5d3c22501cdb8274cb5ca8c159d16b2e4a7dc57,505286353915937539,testing
DB - Copy/testing/Difetto1/RRT-101R_Img1_A80_S4_[26][4].png,RRT-101R,CR,227,227,L,6e0426c99b06b003989089ecb4020442e6518554bffa2294d51cb8fab87a90c8,692d96afc8e4df337d0b6d40402f9d8510b83f8200f8fb09abfa4e86b2ed951e,515529142297822726,testing
DB - Copy/testing/Difetto1/RRT-101R_Img1_A80_S4_[26][6].png,RRT-101R,CR,227,227,L,75e4b53d65eaa2cb9234052f3c0da75bf3a6d001797d2fb1b50b3a06462bf436,ff64faa0251da4d19981d369053d7dc7d6c646aa5d2d628f4087c227f72f8060,4403425431954922010,testing
DB - Copy/testing/Difetto1/RRT-101R_Img2_A80_S2_[17][9].png,RRT-101R,CR,227,227,L,bd90db343335a48a5514bdc7cf51d64d59e466e076a30ae080391b46848de091,a93a9acc74263427af9d91d54afa0adf782e2fc2c8ac4da5cad41a70b8393ddd,434462704051586947,testing
DB - Copy/testing/Difetto1/RRT-101R_Img2_A80_S2_[23][8].png,RRT-101R,CR,227,227,L,21801abfaffb965d5f72b59deb43026c87821e429c37101bdcfc82f709f5a04a,57f82a4c5d446dee51f95bdba8dcc28affa97c7a88bb196e322a6207ed4f2f73,7152139963411662606,testing
DB - Copy/testing/Difetto1/RRT-101R_Img2_A80_S2_[31][2].png,RRT-101R,CR,227,227,L,dda8446d5257e9201159fa71269767bdd32b0f86bfb9d70d2cb116b7f5ed3c69,b1a3d63c584e83bde67216f1356b8c1190e0afd041ba36f74d8478654fb3b834,16251285001653687107,testing
DB - Copy/testing/Difetto1/RRT-101R_Img2_A80_S3_[14][14].png,RRT-101R,CR,227,227,L,ba1492d8d8d26c99d476bd4847f965992729309099b7c623e96e302f78ddebb7,088aeccb56148bacd0d75a1055139d4fc86c9bb82f7015d66d58f01ff8b5d0a3,922337756679294799,testing
DB - Copy/testing/Difetto1/RRT-101R_Img2_A80_S3_[22][19].png,RRT-101R,CR,227,227,L,812820a73b8e48d2b1a7c86b2d5babf671c2683e9ab82c3609cf9dff0d85b700,4ec05f0972c0e66f2f91d5d701c7137654d2821123f2140ffa06ca34059f235b,12786337483233972314,testing
