stage,model,mode,n,accuracy,macro_f1,invalid_rate,defect_miss_rate,cost_usd,cost_per_1000_usd,latency_mean_s,latency_p95_s
application,openai/gpt-4.1-mini,four-shot,160,0.76875,0.7713165479122925,0.00625,0.016666666666666666,0.0449652,0.28103249999999996,3.3259327315270637,4.122988888909455
test,mistralai/mistral-small-3.2-24b-instruct,four-shot,80,0.6875,0.6460022148394242,0.0,0.16666666666666666,0.003724,0.04655,2.636565060963039,4.987990769074524
test,mistralai/mistral-small-3.2-24b-instruct,zero-shot,80,0.4625,0.38022218745110314,0.0,0.7166666666666667,0.0014440000000000002,0.01805,1.7193938885378883,2.843907287233742
test,openai/gpt-4.1-mini,four-shot,80,0.9,0.8986778540554284,0.0,0.0,0.022624,0.2828,2.7317170270893256,5.345184635362238
test,openai/gpt-4.1-mini,zero-shot,80,0.825,0.8221210340775558,0.0,0.1,0.008544,0.10679999999999999,2.1424248957620877,3.0437242398766102
test,qwen/qwen3-vl-30b-a3b-instruct,four-shot,80,0.8375,0.8270006360285724,0.0,0.05,0.005397600000000001,0.06747,1.7257923119483167,2.534772696168511
test,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,80,0.55,0.5005626475314167,0.0,0.5166666666666667,0.002444,0.030549999999999997,1.4928773250358063,3.181079618752119
validation,mistralai/mistral-small-3.2-24b-instruct,four-shot,16,0.5,0.4514652014652014,0.0,0.4166666666666667,0.0007448,0.04655,2.588462947816879,3.5767658752884017
validation,mistralai/mistral-small-3.2-24b-instruct,zero-shot,16,0.25,0.10526315789473684,0.0,0.9166666666666666,0.0002888,0.01805,1.415409049615846,1.8789401984831784
validation,openai/gpt-4.1-mini,four-shot,16,0.8125,0.7818181818181819,0.0,0.0,0.0045248,0.2828,2.2631960312573938,3.167455458518816
validation,openai/gpt-4.1-mini,zero-shot,16,0.6875,0.6642857142857143,0.0,0.16666666666666666,0.0017088,0.10679999999999999,1.734036684683815,2.6737022914749105
validation,qwen/qwen3-vl-30b-a3b-instruct,four-shot,16,0.6875,0.5944444444444444,0.0,0.08333333333333333,0.00107952,0.06747,1.4373779037450731,1.7470027292438317
validation,qwen/qwen3-vl-30b-a3b-instruct,zero-shot,16,0.5625,0.5238095238095238,0.0,0.5,0.0004888,0.030549999999999997,1.4660173021329683,1.8485363332583802
